6361,completed,12,551641,6,2023-03-28 11:50:01.721 +1030
6359,completed,12,551646,4,2023-03-28 11:28:43.246 +1030
6354,completed,12,551613,4,2023-03-28 10:21:40.511 +1030
6349,completed,12,551603,2,2023-03-28 10:12:32.544 +1030
6339,failed,12,551556,8,2023-03-28 09:05:54.329 +1030
6338,completed,12,551550,5,2023-03-28 08:56:40.864 +1030
6372,failed,18,551681,8,2023-03-28 13:03:07.073 +1030
6368,failed,18,551663,8,2023-03-28 12:34:24.536 +1030
6348,failed,18,551599,8,2023-03-28 10:07:05.375 +1030
6341,failed,18,551574,8,2023-03-28 09:28:58.596 +1030
6380,completed,19,551715,5,2023-03-28 14:29:29.184 +1030
6363,completed,19,551664,3,2023-03-28 12:01:50.002 +1030
6357,completed,19,551627,5,2023-03-28 10:43:45.736 +1030
6389,completed,29,551762,3,2023-03-28 17:00:40.647 +1030
6387,completed,29,551753,3,2023-03-28 16:21:43.397 +1030
6371,completed,29,551680,3,2023-03-28 12:54:43.694 +1030
6370,completed,29,551679,3,2023-03-28 12:51:07.453 +1030
6352,failed,29,551610,8,2023-03-28 10:19:40.269 +1030
6351,completed,29,551608,7,2023-03-28 10:17:27.499 +1030
6343,completed,29,551584,3,2023-03-28 09:41:41.818 +1030
6391,failed,96,551766,8,2023-03-28 17:26:32.959 +1030
6388,failed,96,551757,8,2023-03-28 16:45:22.480 +1030
6385,failed,96,551737,8,2023-03-28 15:36:15.985 +1030
6383,failed,96,551729,8,2023-03-28 15:29:14.606 +1030
6382,failed,96,551722,8,2023-03-28 15:06:30.095 +1030
6381,failed,96,551721,8,2023-03-28 15:05:57.588 +1030
6376,failed,96,551697,8,2023-03-28 13:41:50.106 +1030
6374,failed,96,551686,8,2023-03-28 13:22:36.522 +1030
6373,failed,96,551685,8,2023-03-28 13:19:09.674 +1030
6358,failed,96,551638,8,2023-03-28 11:03:15.335 +1030
6355,failed,96,551618,8,2023-03-28 10:28:37.610 +1030
6347,failed,96,551594,8,2023-03-28 10:01:24.982 +1030
6345,failed,96,551586,8,2023-03-28 09:43:23.108 +1030
6344,failed,96,551585,8,2023-03-28 09:42:50.651 +1030
6340,failed,96,551572,8,2023-03-28 09:27:48.104 +1030
6366,failed,99,551670,9,2023-03-28 12:18:48.459 +1030
6346,failed,99,551593,8,2023-03-28 10:00:40.471 +1030
6390,failed,100,551764,8,2023-03-28 17:04:07.679 +1030
6386,completed,100,551742,2,2023-03-28 15:49:07.737 +1030
6384,completed,100,551732,2,2023-03-28 15:34:27.863 +1030
6378,completed,100,551706,3,2023-03-28 14:01:19.068 +1030
6375,completed,100,551689,3,2023-03-28 13:25:54.944 +1030
6369,completed,100,551678,4,2023-03-28 12:41:16.809 +1030
6362,completed,100,551661,2,2023-03-28 11:50:50.747 +1030
6360,completed,100,551654,1,2023-03-28 11:42:03.227 +1030
6356,completed,100,551621,3,2023-03-28 10:31:31.763 +1030
6353,failed,100,551611,8,2023-03-28 10:20:14.657 +1030
6336,completed,100,551544,2,2023-03-28 08:49:17.214 +1030
6365,failed,106,551666,8,2023-03-28 12:10:10.809 +1030
6337,failed,106,551547,8,2023-03-28 08:55:17.969 +1030
6379,failed,110,551708,9,2023-03-28 14:02:15.975 +1030
6367,failed,110,551671,8,2023-03-28 12:21:46.210 +1030
6364,failed,110,551665,8,2023-03-28 12:09:05.537 +1030
6350,failed,110,551606,8,2023-03-28 10:15:39.790 +1030
6342,failed,110,551576,8,2023-03-28 09:35:31.294 +1030
6377,failed,124,551700,8,2023-03-28 13:52:08.168 +1030
